Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,
1,4.688886,-0.1173207,1.406875,3.3530772,0.04071706,0.4856253,-0.2738711,-0.8291591,,,,,
1,4.699997,-0.120322,1.417303,3.3523701,0.05689052,0.4863682,-0.2663842,-0.8302101,,,,,
1,4.711108,-0.1239495,1.427813,3.3518663,0.07305207,0.4871812,-0.2594905,-0.8306518,,,,,
1,4.722219,-0.1268282,1.437883,3.3514558,0.08786955,0.4878632,-0.2517045,-0.8312119,,,,,
1,4.733331,-0.1295579,1.447576,3.3506729,0.102431,0.4884793,-0.242967,-0.8317829,,,,,
1,4.744442,-0.1321179,1.456997,3.3503876,0.1174809,0.4893322,-0.2340032,-0.8318622,,,,,
1,4.755553,-0.1346984,1.465909,3.3493044,-0.1321834,-0.4895012,0.224017,0.8323055,,,,,
1,4.766665,-0.1366351,1.474161,3.3484635,-0.1463905,-0.4890592,0.2142186,0.8327672,,,,,
1,4.777776,-0.1379359,1.482192,3.34756,-0.1600882,-0.4886036,0.2036149,0.8331742,,,,,
1,4.788887,-0.1394302,1.48971,3.3465667,-0.1726311,-0.4890368,0.19187,0.8332031,,,,,
1,4.799998,-0.1406995,1.497238,3.34544,-0.1847696,-0.4897739,0.1795326,0.8329164,,,,,
1,4.81111,-0.1411533,1.503643,3.3445005,-0.1937307,-0.4909803,0.16404,0.8333653,,,,,
1,4.822221,-0.1416102,1.509699,3.3433115,-0.2009171,-0.4922819,0.1472361,0.8340338,,,,,
1,4.833332,-0.1420435,1.51499,3.3421291,-0.2064917,-0.4934881,0.1285623,0.8350464,,,,,
1,4.844443,-0.1421306,1.519601,3.3411338,-0.2119223,-0.4948966,0.1082419,0.8357332,,,,,
1,4.855555,-0.1425398,1.524221,3.3402289,-0.2167897,-0.496638,0.08831891,0.8357946,,,,,
1,4.866666,-0.1422383,1.5278,3.3393897,-0.2185866,-0.4998306,0.06633613,0.8354572,,,,,
1,4.877777,-0.1424424,1.53135,3.3386808,-0.2208104,-0.5025812,0.04538224,0.8346229,,,,,
1,4.888888,-0.1419377,1.533208,3.3380226,-0.2188766,-0.5066246,0.02340738,0.8335926,,,,,
1,4.9,-0.1419598,1.535621,3.3372038,-0.2189806,-0.509083,0.003192164,0.8323892,,,,,
1,4.911111,-0.141788,1.536958,3.336311,-0.2165027,-0.5115718,-0.01692243,0.831345,,,,,
1,4.922222,-0.1415588,1.537669,3.3355575,-0.2133115,-0.5141289,-0.03622305,0.8299744,,,,,
1,4.933333,-0.141359,1.537628,3.3352009,-0.2093893,-0.5172467,-0.05602228,0.8279333,,,,,
