Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,3.144439,0.4608569,1.564138,0.23728459,0.6133966,-0.1876,0.3337406,-0.6907737,,,,,,
1,3.15555,0.4617954,1.554326,0.24210396,0.6027225,-0.1958876,0.3409154,-0.6943562,,,,,,
1,3.166661,0.462989,1.544802,0.24687696,0.5925837,-0.2030894,0.3484849,-0.6972501,,,,,,
1,3.177772,0.4633823,1.534762,0.2524169,0.5817533,-0.2083395,0.3566524,-0.7006832,,,,,,
1,3.188883,0.4632447,1.525348,0.2582303,0.5706592,-0.2133642,0.3651679,-0.7039008,,,,,,
1,3.199994,0.4632911,1.515595,0.2640995,0.5605723,-0.2188547,0.374616,-0.705354,,,,,,
1,3.211105,0.4620655,1.50584,0.2705607,0.5507175,-0.2240209,0.382945,-0.7070206,,,,,,
1,3.222216,0.4606363,1.495918,0.2771149,0.5401512,-0.2281505,0.3942393,-0.7076437,,,,,,
1,3.233327,0.4590208,1.485943,0.2832636,0.5290951,-0.2329323,0.4046156,-0.7085811,,,,,,
1,3.244438,0.4559,1.476223,0.2897665,0.5165853,-0.2371593,0.4166876,-0.7094129,,,,,,
1,3.255549,0.4527787,1.46624,0.2964322,0.5034977,-0.2413591,0.4280167,-0.71066,,,,,,
1,3.26666,0.4490747,1.456627,0.3028811,0.4896884,-0.2444583,0.4384113,-0.7129103,,,,,,
1,3.277771,0.4454524,1.446529,0.3093522,0.4758434,-0.2462017,0.4470677,-0.716302,,,,,,
1,3.288882,0.4416129,1.436888,0.3157689,0.4621272,-0.2474887,0.4543681,-0.7202344,,,,,,
1,3.299993,0.4370137,1.427305,0.3224266,0.447515,-0.2495574,0.4599252,-0.7252036,,,,,,
1,3.311104,0.4328011,1.417582,0.3288336,0.4332667,-0.2513242,0.4654803,-0.7296878,,,,,,
1,3.322215,0.4281486,1.408149,0.3351202,0.4181634,-0.2526284,0.4700997,-0.7350677,,,,,,
1,3.333326,0.4227294,1.398917,0.3412187,0.401563,-0.2533532,0.473334,-0.7419666,,,,,,
1,3.344437,0.4168249,1.389853,0.3473206,0.3855634,-0.2523884,0.4769738,-0.748423,,,,,,
1,3.355548,0.4106076,1.380776,0.3532495,0.3698659,-0.2502192,0.481255,-0.7543098,,,,,,
1,3.366659,0.4039333,1.37201,0.3589143,0.3543059,-0.2478705,0.4849111,-0.7601901,,,,,,
1,3.37777,0.3973243,1.363298,0.3646843,0.3385735,-0.2468192,0.4881869,-0.765586,,,,,,
1,3.388881,0.3891692,1.355443,0.3698827,0.3217717,-0.2460571,0.4905184,-0.7715639,,,,,,
1,3.399992,0.3816869,1.347198,0.3752356,0.3050012,-0.2447554,0.4931751,-0.7770762,,,,,,
1,3.411103,0.3731912,1.339297,0.3799947,0.288116,-0.242612,0.4946787,-0.7832125,,,,,,
1,3.422215,0.3646235,1.331658,0.384646,0.2723106,-0.2391961,0.4954375,-0.7894137,,,,,,
1,3.433326,0.355978,1.324043,0.3892726,0.2575316,-0.2332273,0.495261,-0.7962407,,,,,,
1,3.444437,0.3472833,1.316526,0.3932407,0.2422227,-0.225731,0.4929736,-0.8045812,,,,,,
1,3.455548,0.3384706,1.309248,0.3971746,0.2264219,-0.2175643,0.4891861,-0.8136928,,,,,,
1,3.466659,0.3298303,1.302268,0.4007615,0.2098942,-0.2099271,0.4862693,-0.8218378,,,,,,
1,3.47777,0.3205342,1.295697,0.4036884,0.1932322,-0.2001933,0.4831654,-0.8301418,,,,,,
1,3.488881,0.3109988,1.289348,0.4062972,0.1776992,-0.1902277,0.480626,-0.8373979,,,,,,
1,3.499992,0.3017004,1.282877,0.4089266,0.1622769,-0.1813789,0.4773437,-0.8443406,,,,,,
1,3.511103,0.2920336,1.276814,0.4110766,0.1477021,-0.1716667,0.4729894,-0.8514668,,,,,,
1,3.522214,0.2825763,1.27096,0.4126039,0.1334058,-0.1617664,0.4674776,-0.8587778,,,,,,
1,3.533325,0.2729534,1.264915,0.4140405,0.1190547,-0.1512706,0.4614433,-0.8660331,,,,,,
1,3.544436,0.2635954,1.259167,0.4150607,0.1057887,-0.1406936,0.4555491,-0.8726335,,,,,,
1,3.555547,0.254048,1.253327,0.4154684,0.09465718,-0.1295135,0.4500213,-0.8784914,,,,,,
1,3.566658,0.2446121,1.247367,0.4161723,0.08340763,-0.1187185,0.4444416,-0.8839802,,,,,,
1,3.577769,0.2345586,1.241469,0.4164701,0.07339512,-0.1089243,0.4369497,-0.8898448,,,,,,
1,3.58888,0.2244512,1.235789,0.4157773,0.06331764,-0.1000052,0.4287181,-0.895651,,,,,,
1,3.599991,0.2147054,1.230013,0.4152636,0.05162333,-0.0896396,0.4215359,-0.9008924,,,,,,
1,3.611102,0.2053653,1.224531,0.4137314,0.03798352,-0.07522609,0.4167753,-0.9050949,,,,,,
1,3.622213,0.1968196,1.219163,0.4116025,0.02260443,-0.05807037,0.4155191,-0.9074475,,,,,,
1,3.633324,0.1885388,1.21374,0.4092537,0.006352777,-0.04090352,0.4145928,-0.9090651,,,,,,
1,3.644435,0.1801382,1.20842,0.4076252,-0.008268003,-0.0256423,0.4115838,-0.9109735,,,,,,
1,3.655546,0.1719,1.201937,0.4050634,-0.02110916,-0.01094059,0.4083458,-0.9125177,,,,,,
1,3.666657,0.1626513,1.195826,0.4030092,-0.03309868,0.000899275,0.4025227,-0.914811,,,,,,
1,3.677768,0.1541281,1.189832,0.3998368,-0.0458571,0.009658612,0.3924647,-0.9185725,,,,,,
1,3.688879,0.1464846,1.184492,0.3966616,-0.06136688,0.01955033,0.3792064,-0.923068,,,,,,
1,3.69999,0.1400787,1.179303,0.3934231,-0.07915816,0.0340772,0.3656164,-0.9267672,,,,,,
